algoritmo,metodo,funcao,seed,n,t_max,w_max,w_min,c1,c2,v_max,alpha,A,lambda,Q,d_nuc,d_rep,f_final,x_final,y_final
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,1.000000,0.500000,,,,0.000097,-0.000659,0.000233
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,1.000000,0.500000,,,,0.022934,0.010576,0.001946
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,1.000000,0.500000,,,,0.007134,-0.003154,0.005100
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,1.000000,1.000000,,,,0.018671,-0.008036,0.005436
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,1.000000,1.000000,,,,0.002306,0.003064,0.001495
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,1.000000,1.000000,,,,0.008628,0.001952,0.006300
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,1.000000,2.000000,,,,0.001584,-0.002656,0.000965
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,1.000000,2.000000,,,,0.017437,-0.008516,-0.003923
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,1.000000,2.000000,,,,0.004015,0.004430,0.000786
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,3.000000,0.500000,,,,0.037480,-0.012731,-0.005188
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,3.000000,0.500000,,,,0.031313,0.012566,-0.000040
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,3.000000,0.500000,,,,0.119333,-0.013980,-0.020167
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,3.000000,1.000000,,,,0.004331,-0.000958,-0.004573
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,3.000000,1.000000,,,,0.046483,-0.010166,-0.011447
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,3.000000,1.000000,,,,0.020218,0.007066,0.007211
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,3.000000,2.000000,,,,0.044755,-0.013229,0.007120
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,3.000000,2.000000,,,,0.006674,-0.003617,0.004534
PP,inertia,Rastrigin,3,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,3.000000,2.000000,,,,0.121065,-0.013108,0.020955
PP,inertia,Rastrigin,1,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,5.000000,0.500000,,,,0.061608,0.010288,-0.014313
PP,inertia,Rastrigin,2,30,200,0.900000,0.400000,2.000000,2.000000,5.000000,0.500000,5.000000,0.500000,,,,0.207563,-0.008156,-0.031351
