algoritmo,metodo,funcao,seed,n,t_max,w_max,w_min,c1,c2,v_max,alpha,A,lambda,Q,d_nuc,d_rep,f_final,x_final,y_final
PSO,clamp,Rosenbrock,6,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.012239,0.926106,0.865906
PSO,clamp,Rosenbrock,7,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.013359,0.920407,0.838768
PSO,clamp,Rosenbrock,8,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.025137,0.841689,0.707578
PSO,clamp,Rosenbrock,9,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.084485,0.714026,0.504633
PSO,clamp,Rosenbrock,10,5,200,,,2.000000,2.000000,2.000000,,,,,,,0.021901,1.008501,1.002299
PSO,clamp,Rosenbrock,1,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.011146,1.005457,1.000401
PSO,clamp,Rosenbrock,2,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.018292,1.120481,1.249333
PSO,clamp,Rosenbrock,3,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.016732,1.122622,1.256164
PSO,clamp,Rosenbrock,4,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.004948,0.954245,0.915927
PSO,clamp,Rosenbrock,5,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.016461,1.008459,1.004188
PSO,clamp,Rosenbrock,6,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.000981,0.997162,0.991213
PSO,clamp,Rosenbrock,7,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.001317,0.963710,0.928786
PSO,clamp,Rosenbrock,8,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.001435,1.032606,1.068204
PSO,clamp,Rosenbrock,9,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.001118,0.975067,0.948526
PSO,clamp,Rosenbrock,10,10,200,,,2.000000,2.000000,2.000000,,,,,,,0.033314,1.103853,1.233501
PSO,clamp,Rosenbrock,1,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.002244,0.952922,0.907530
PSO,clamp,Rosenbrock,2,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.000036,0.994814,0.989961
PSO,clamp,Rosenbrock,3,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.000274,1.002642,1.003656
PSO,clamp,Rosenbrock,4,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.000049,1.005615,1.010846
PSO,clamp,Rosenbrock,5,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.001232,1.002798,1.009103
PSO,clamp,Rosenbrock,6,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.000477,1.007474,1.012951
PSO,clamp,Rosenbrock,7,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.000267,0.999986,0.998340
PSO,clamp,Rosenbrock,8,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.000688,1.024868,1.049519
PSO,clamp,Rosenbrock,9,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.002076,1.024171,1.045064
PSO,clamp,Rosenbrock,10,25,200,,,2.000000,2.000000,2.000000,,,,,,,0.001541,1.038244,1.077067
PSO,clamp,Rosenbrock,1,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.000146,1.008276,1.015742
PSO,clamp,Rosenbrock,2,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.000953,1.026752,1.055759
PSO,clamp,Rosenbrock,3,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.000022,1.004325,1.008490
PSO,clamp,Rosenbrock,4,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.000715,0.991924,0.981364
PSO,clamp,Rosenbrock,5,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.000115,1.007728,1.014773
PSO,clamp,Rosenbrock,6,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.000658,1.021582,1.042241
PSO,clamp,Rosenbrock,7,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.001766,1.028007,1.059931
PSO,clamp,Rosenbrock,8,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.001978,0.955551,0.912923
PSO,clamp,Rosenbrock,9,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.002516,0.988740,0.972720
PSO,clamp,Rosenbrock,10,50,200,,,2.000000,2.000000,2.000000,,,,,,,0.000168,0.988776,0.978327
PSO,inertia,Rastrigin,1,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,0.000000
PSO,inertia,Rastrigin,2,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.994959,0.994957,-0.000000
PSO,inertia,Rastrigin,3,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.994959,-0.994959,-0.000000
PSO,inertia,Rastrigin,4,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,0.000000
PSO,inertia,Rastrigin,5,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.994959,-0.000023,-0.994938
PSO,inertia,Rastrigin,6,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,0.000001
PSO,inertia,Rastrigin,7,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000012,0.000007
PSO,inertia,Rastrigin,8,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.994973,-0.994932,-0.000264
PSO,inertia,Rastrigin,9,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000002,-0.000013
PSO,inertia,Rastrigin,10,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,0.000000
PSO,inertia,Rastrigin,1,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,0.000000
PSO,inertia,Rastrigin,2,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,0.000000
PSO,inertia,Rastrigin,3,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,-0.000000
PSO,inertia,Rastrigin,4,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,0.000000
PSO,inertia,Rastrigin,5,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,-0.000000
PSO,inertia,Rastrigin,6,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,-0.000000
PSO,inertia,Rastrigin,7,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,-0.000000
PSO,inertia,Rastrigin,8,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,-0.000000
PSO,inertia,Rastrigin,9,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,0.000000
PSO,inertia,Rastrigin,10,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,0.000000
PSO,inertia,Rastrigin,1,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,0.000000
PSO,inertia,Rastrigin,2,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,0.000000
PSO,inertia,Rastrigin,3,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,0.000000
PSO,inertia,Rastrigin,4,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,0.000000
PSO,inertia,Rastrigin,5,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,0.000000
PSO,inertia,Rastrigin,6,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,-0.000000
PSO,inertia,Rastrigin,7,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,0.000000
PSO,inertia,Rastrigin,8,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,-0.000000
PSO,inertia,Rastrigin,9,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,-0.000000
PSO,inertia,Rastrigin,10,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,-0.000000
PSO,inertia,Rastrigin,1,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,-0.000000
PSO,inertia,Rastrigin,2,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,-0.000000
PSO,inertia,Rastrigin,3,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,0.000000
PSO,inertia,Rastrigin,4,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,-0.000000
PSO,inertia,Rastrigin,5,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,-0.000000
PSO,inertia,Rastrigin,6,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,0.000000
PSO,inertia,Rastrigin,7,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,-0.000000
PSO,inertia,Rastrigin,8,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,-0.000000
PSO,inertia,Rastrigin,9,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.000000,0.000000
PSO,inertia,Rastrigin,10,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,-0.000000,-0.000000
PSO,inertia,Rosenbrock,1,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000018,1.003983,1.007835
PSO,inertia,Rosenbrock,2,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.005833,0.924060,0.853074
PSO,inertia,Rosenbrock,3,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.001669,1.040846,1.083287
PSO,inertia,Rosenbrock,4,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.002359,1.048486,1.099612
PSO,inertia,Rosenbrock,5,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000100,1.003147,1.005356
PSO,inertia,Rosenbrock,6,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.034950,0.813091,0.660733
PSO,inertia,Rosenbrock,7,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000008,0.997417,0.994942
PSO,inertia,Rosenbrock,8,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000348,1.018651,1.037651
PSO,inertia,Rosenbrock,9,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.029046,0.830318,0.687835
PSO,inertia,Rosenbrock,10,5,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.008442,0.908120,0.824653
PSO,inertia,Rosenbrock,1,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000001,1.000892,1.001743
PSO,inertia,Rosenbrock,2,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000085,1.009161,1.018488
PSO,inertia,Rosenbrock,3,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000006,0.997600,0.995267
PSO,inertia,Rosenbrock,4,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000005,1.002319,1.004639
PSO,inertia,Rosenbrock,5,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000061,0.992296,0.984530
PSO,inertia,Rosenbrock,6,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000002,0.998504,0.997010
PSO,inertia,Rosenbrock,7,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000012,0.996520,0.993035
PSO,inertia,Rosenbrock,8,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.999895,0.999789
PSO,inertia,Rosenbrock,9,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.001645,0.959488,0.920414
PSO,inertia,Rosenbrock,10,10,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000100,1.010014,1.020165
PSO,inertia,Rosenbrock,1,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000001,0.998883,0.997774
PSO,inertia,Rosenbrock,2,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000003,0.998228,0.996448
PSO,inertia,Rosenbrock,3,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000002,0.998542,0.997086
PSO,inertia,Rosenbrock,4,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.999426,0.998850
PSO,inertia,Rosenbrock,5,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.999530,0.999053
PSO,inertia,Rosenbrock,6,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000001,1.000993,1.001985
PSO,inertia,Rosenbrock,7,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,1.000210,1.000419
PSO,inertia,Rosenbrock,8,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000005,1.002304,1.004605
PSO,inertia,Rosenbrock,9,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,1.000256,1.000532
PSO,inertia,Rosenbrock,10,25,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000001,1.000947,1.001892
PSO,inertia,Rosenbrock,1,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.999905,0.999811
PSO,inertia,Rosenbrock,2,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000001,1.001009,1.002028
PSO,inertia,Rosenbrock,3,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.999919,0.999838
PSO,inertia,Rosenbrock,4,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,1.000137,1.000269
PSO,inertia,Rosenbrock,5,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.999963,0.999941
PSO,inertia,Rosenbrock,6,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.999969,0.999938
PSO,inertia,Rosenbrock,7,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.999940,0.999891
PSO,inertia,Rosenbrock,8,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.999674,0.999296
PSO,inertia,Rosenbrock,9,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,1.000072,1.000145
PSO,inertia,Rosenbrock,10,50,200,0.900000,0.400000,2.000000,2.000000,5.000000,,,,,,,0.000000,0.999977,0.999957
PP,clamp,Rastrigin,1,5,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.394248,0.007229,-0.044129
PP,clamp,Rastrigin,2,5,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.108496,0.017779,-0.015208
PP,clamp,Rastrigin,3,5,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.122560,-0.013046,-0.021173
PP,clamp,Rastrigin,4,5,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.761314,0.052124,-0.033895
PP,clamp,Rastrigin,5,5,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.256955,-0.028899,-0.021518
PP,clamp,Rastrigin,6,5,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.142167,-0.010187,0.024781
PP,clamp,Rastrigin,7,5,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.028356,-0.002086,0.011775
PP,clamp,Rastrigin,8,5,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.064410,-0.011926,-0.013513
PP,clamp,Rastrigin,9,5,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.316216,-0.031432,-0.024704
PP,clamp,Rastrigin,10,5,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.306396,0.032890,-0.021615
PP,clamp,Rastrigin,1,10,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.220574,0.021813,-0.025260
PP,clamp,Rastrigin,2,10,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.081037,-0.016799,0.011250
PP,clamp,Rastrigin,3,10,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.197106,0.030696,-0.007362
PP,clamp,Rastrigin,4,10,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.076867,0.014742,0.013053
PP,clamp,Rastrigin,5,10,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.245283,-0.017557,0.030516
PP,clamp,Rastrigin,6,10,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.367291,-0.029638,-0.031282
PP,clamp,Rastrigin,7,10,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.066696,-0.018327,0.000814
PP,clamp,Rastrigin,8,10,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.016003,0.001083,-0.008917
PP,clamp,Rastrigin,9,10,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.091160,0.017875,-0.011848
PP,clamp,Rastrigin,10,10,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.011512,-0.003433,-0.006801
PP,clamp,Rastrigin,1,25,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.039438,0.000426,-0.014097
PP,clamp,Rastrigin,2,25,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.003952,-0.000248,0.004457
PP,clamp,Rastrigin,3,25,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.013427,0.008009,0.001885
PP,clamp,Rastrigin,4,25,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.110024,-0.023303,-0.003537
PP,clamp,Rastrigin,5,25,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.038844,0.005819,0.012729
PP,clamp,Rastrigin,6,25,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.033595,-0.008769,-0.009617
PP,clamp,Rastrigin,7,25,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.021730,-0.009230,0.004936
PP,clamp,Rastrigin,8,25,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.018463,0.009506,-0.001651
PP,clamp,Rastrigin,9,25,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.032827,0.004487,0.012058
PP,clamp,Rastrigin,10,25,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.045191,0.014777,0.003095
PP,clamp,Rastrigin,1,50,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.007982,0.000980,-0.006267
PP,clamp,Rastrigin,2,50,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.014156,0.007036,0.004674
PP,clamp,Rastrigin,3,50,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.050371,-0.015859,0.001608
PP,clamp,Rastrigin,4,50,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.007320,0.002335,0.005608
PP,clamp,Rastrigin,5,50,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.005473,0.003314,-0.004075
PP,clamp,Rastrigin,6,50,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.022056,-0.005570,-0.008954
PP,clamp,Rastrigin,7,50,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.007653,-0.000712,0.006170
PP,clamp,Rastrigin,8,50,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.002917,-0.003053,0.002321
PP,clamp,Rastrigin,9,50,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.029931,0.008765,0.008607
PP,clamp,Rastrigin,10,50,200,,,2.000000,2.000000,2.000000,1.000000,1.000000,2.000000,,,,0.038278,-0.013893,0.000210
PP,clamp,Rosenbrock,1,5,200,,,2.000000,2.000000,2.000000,0.100000,1.000000,2.000000,,,,0.013971,0.923505,0.843851
PP,clamp,Rosenbrock,2,5,200,,,2.000000,2.000000,2.000000,0.100000,1.000000,2.000000,,,,0.130486,1.197645,1.464589
PP,clamp,Rosenbrock,3,5,200,,,2.000000,2.000000,2.000000,0.100000,1.000000,2.000000,,,,0.026658,0.926673,0.873312
PP,clamp,Rosenbrock,4,5,200,,,2.000000,2.000000,2.000000,0.100000,1.000000,2.000000,,,,0.007568,0.953737,0.902247
PP,clamp,Rosenbrock,5,5,200,,,2.000000,2.000000,2.000000,0.100000,1.000000,2.000000,,,,0.007455,0.979167,0.950388
PP,clamp,Rosenbrock,6,5,200,,,2.000000,2.000000,2.000000,0.100000,1.000000,2.000000,,,,0.037086,1.165319,1.367845
PP,clamp,Rosenbrock,7,5,200,,,2.000000,2.000000,2.000000,0.100000,1.000000,2.000000,,,,0.013149,0.885340,0.783678
PP,clamp,Rosenbrock,8,5,200,,,2.000000,2.000000,2.000000,0.100000,1.000000,2.000000,,,,0.034210,0.849726,0.711251
PP,clamp,Rosenbrock,9,5,200,,,2.000000,2.000000,2.000000,0.100000,1.000000,2.000000,,,,0.008859,0.930515,0.872207
PP,clamp,Rosenbrock,10,5,200,,,2.000000,2.000000,2.000000,0.100000,1.000000,2.000000,,,,0.006092,1.023365,1.054724
